name,per,calories,protein,fat,carbs,per_unit_grams,count_unit
# === FISH & SEAFOOD (魚介類) - Per 100g ===
Watermelon,100g,36,0.6,0.2,8,,
西瓜,100g,36,0.6,0.2,8,,
すいか,100g,36,0.6,0.2,8,,
スイカ,100g,36,0.6,0.2,8,,
Seedless watermelon,100g,36,0.6,0.2,8,,
Kiwi,100g,69,1.1,0.5,15,,
キウイ,100g,69,1.1,0.5,15,,
きうい,100g,69,1.1,0.5,15,,
Hayward,100g,69,1.1,0.5,15,,
Pineapple,100g,55,0.5,0.1,13,,
パイナップル,100g,55,0.5,0.1,13,,
ぱいなっぷる,100g,55,0.5,0.1,13,,
Smooth Cayenne,100g,55,0.5,0.1,13,,
Lemon,100g,43,1.1,0.3,9,,
レモン,100g,43,1.1,0.3,9,,
れもん,100g,43,1.1,0.3,9,,
Citrus limon,100g,43,1.1,0.3,9,,
Mandarin Orange,100g,53,0.8,0.2,12,,
橘,100g,53,0.8,0.2,12,,
たちばな,100g,53,0.8,0.2,12,,
タチバナ,100g,53,0.8,0.2,12,,
Unshiu,100g,53,0.8,0.2,12,,
Cherry,100g,54,1,0.2,12,,
桜んぼ,100g,54,1,0.2,12,,
さくらんぼ,100g,54,1,0.2,12,,
サクランボ,100g,54,1,0.2,12,,
Satonishiki,100g,54,1,0.2,12,,
Bing,100g,54,1,0.2,12,,
Melon,100g,37,0.8,0.2,8,,
メロン,100g,37,0.8,0.2,8,,
めろん,100g,37,0.8,0.2,8,,
Muskmelon,100g,37,0.8,0.2,8,,
Yubari,100g,37,0.8,0.2,8,,
Grapefruit,100g,39,0.6,0.1,9,,
グレープフルーツ,100g,39,0.6,0.1,9,,
ぐれーぷふるーつ,100g,39,0.6,0.1,9,,
Ruby,100g,39,0.6,0.1,9,,
White,100g,39,0.6,0.1,9,,
Loquat,100g,51,0.4,0.2,12,,
枇杷,100g,51,0.4,0.2,12,,
びわ,100g,51,0.4,0.2,12,,
